Name,Price,Depreciation,Reg_Date,Total_Days_COE,M_Date,Mileage ,Transmission,Engine_Cap,Road_Tax,Power,CurbWeight,features,accessories,description,coe,omv,arf,deregValue,noOfOwners,typeOfVeh,category,availability
Hyundai Elantra 1.6A Elite,31000,8040,26-Nov-11,1072,2011,"123,000 km ",Auto,1591,738,95.6 kW (128 bhp) View specs of the Hyundai Elantra (2011-2014),1267,"1.6L DOHC CVVT Engine, Reliable And Responsive Auto Transmission, Cruise Control. Reverse Camera On Mirror.","High Spec Original Elite Model With Leather Electric Seat, Knock Down Rear Seat, Factory Fitted Audio System, Auto Headlights, Fog Lights.","Well Taken Care Of, Did Not Drive Much Due To Change Of Work Location Which Does Not Require Driving. Selling Off Due To Low Usages. New Alternator Changed Few Months Ago. Service Records Available. Fuss Free Drive! View To Believe",54887,14505,14505,24913,4,Mid-Sized Sedan,"PARF Car, Direct Owner Sale",TRUE
Mazda 5 2.0A Sunroof,49800,9120,25-Apr-13,1591,2012,"110,000 km ",Auto,1999,1212,106.0 kW (142 bhp) View specs of the Mazda 5 (2012-2018),1527,"2.0L DOHC Engine, 6 Speed Automatic Transmission With Step Tronic, Dual Power Sliding Doors, ABS, SRS Air Bags, Auto Headlights, Sunroof, Fog Lights!","Original Factory Fitted Black Color Leather Seats, 16"" Sports Rims, Pioneer DVD Player, Bluetooth, Reverse Sensor And Camera, Retractable Side Mirror!","$8k All-In Drive Away Only, Low Monthly Installment, High Paper Value, Selling The Cheapest In The Market, Price Negotiable, Excellent Condition Maintain By The Previous Owner, Hassle Free & Accident Free, Drive With A Peace Of Mind, Trade In Or Scrap Car Welcome, Flexible Loan With Lowest Interest Rate Can Be Arrange, Hurry Contact Us For More Information Or Drop By For A Test Drive,",67010,20010,20014,43256,1,MPV,"PARF Car, Premium Ad Car",TRUE
Toyota Corolla Altis 1.6A,73800,7970,15-Dec-16,2921,2016,"20,000 km ",Auto,1598,742,90.0 kW (120 bhp) View specs of the Toyota Corolla Altis (2014),1215,50th Anniversary Edition. Reliable And Fuel Efficient 1.6L CVT 16 Valves Four Cylinder Dual VVT-I Engine. Smooth Auto Transmission. Airbags.,"Full TRD Bodykit, 17"" OZ Superturismo GT Rims, Factory Fitted Audio With GPS, Bluetooth, Reverse Camera, Multi Function Steering, Keyless Entry.","In House Finance Available! Limited Edition! Only 50 Units In Singapore, Service And Warranty By Borneo Motor. Superb Showroom Condition. Original Paintwork And Neat Interior! Fuel Efficient And Reliable. Smooth Engine And Gearbox In Very Good Condition. Trade In Are Welcomed. Don't Miss The Chance To Own This Limited Edition Unit! View Now!",48000,19990,19990,53432,1,Mid-Sized Sedan,"PARF Car, Premium Ad Car, Low Mileage Car",TRUE
Suzuki Swift Sport 1.6M (COE till 12/2028),51800,5170,19-Dec-08,3655,2008,"97,000 km ",Manual,1586,736,92.0 kW (123 bhp) View specs of the Suzuki Swift,1090,"1.6L 16V DOHC VVT Responsive And Smooth Engine, SRS Airbags, ABS, Multi Steering Controls, Retractable Side Mirrors/Indicators, Knockdown Rear Seats.","Sports Rims, Original Sports Leather Seats, Fog Lamps, Factory Fitted Audio System, Reverse Sensors.","Super Well Taken Care, Beautiful Inside Out, Tip Top Condition, Like New, Genuine Low Mileage, Low Depreciation, No Accident No Modifications, Call Now!",27571,15212,6001,27631,2,Hatchback,"COE Car, Direct Owner Sale, Low Mileage Car",TRUE
Audi A1 Sportback 1.0A TFSI S-tronic,82288,8840,10-Oct-17,3216,2017,"9,900 km ",Auto,999,392,70.0 kW (93 bhp) View specs of the Audi A1 (2011-2013),1165,"Fuel Savvy 1L Inline TFSI Engine Mated With 7 Speed Stronic Gearbox Producing 94 Bhp, Fuel Consumption At 22 Km/L.","16"" Original Rims, Audi MMI With Bluetooth Connectivity, Multi Function Steering Wheel, Auto Headlights, Auto Rain Sensors, Retractable Side Mirrors.","Down Payment $8,200 Only! From $1,180/Month. Drive This Perfect City Car With No Hassle At All! Diligently Serviced With Agent, Warranty Till 2020. Free Servicing With Agent. Always Parked Under Shelter, Very Low Mileage, Reluctant Sale Due To Under Utilized. Call Now To Arrange A Viewing! Strictly Appointment Only!",41761,22463,8449,43201,1,Hatchback,"PARF Car, Premium Ad Car, Low Mileage Car",TRUE
Mercedes-Benz S-Class S350L CGI AMG,96800,16990,5-Oct-11,1021,2011,"94,000 km ",Auto,3498,3164,225.0 kW (301 bhp) View specs of the Mercedes-Benz S-Class (2007-2013),1975,"3.5L V6 CGI Engine, 301 BHP, 7G-Tronic Automatic With Paddle Shifters, Auto Headlights And Rain Sensors, Keyless Entry/Start/Stop, Cruise Control.","Factory Fitted Audio System With Steering Controls, Rear And Side Electric Roller Blinds, Suction Doors, LED Lights, Front/Rear Recording Camera.","Nice Bidded Carplate, AMG Styling, 100% Accident Free, $0 Down Payment, Loan Up To 100%, Loan Bank And In House, Bad Credit, Ex Bankruptcy All Welcome, Call/SMS/WhatsApp Us For Viewing Now Please Call For Viewing And Enquiry.",68811,98073,98073,78186,3,Luxury Sedan,"PARF Car, Premium Ad Car",TRUE
Mercedes-Benz C-Class C180 Avantgarde,118800,14080,29-Jan-16,2600,2015,"53,000 km ",Auto,1595,740,115.0 kW (154 bhp) View specs of the Mercedes-Benz C-Class Saloon (2014-2018),1425,"1.6L 4 Cylinder Inline Turbocharged Engine At 154Bhp, 9G-Tronic With Paddle Shifter, Keyless Go, LED Auto Headlight, DRL, Rain Sensor, Park Assist.","Sport Rims, Leather Interior, Factory Audio With Aux/USB Interface And Bluetooth, Reverse Camera, Drive Dynamic Select, Auto Tailgate.","Special Interest Rate Of 1.98%, Fully Maintained And Warranty By C&C, Car In Tip Top Condition, View And Test Drive Today!",59889,35590,36826,70329,1,Luxury Sedan,"PARF Car, Premium Ad Car",TRUE
Toyota Corolla Altis 1.6A (COE till 09/2023),31800,6690,15-Sep-08,1731,2008,"103,000 km ",Auto,1598,742,80.0 kW (107 bhp) View specs of the Toyota Corolla Altis (2008-2013),1195,"After Work Viewing Welcomed Catered To Your Schedule, We Will Be Glad To Serve. No Obligations. Mechanical Or STA Inspection Welcomed. Cheapest!","All Original, Sports Rims,Leather Seats,CD Player/Audio System, Retractable Side Mirrors With Indicator, Solar Film,Reverse Sensor, Steering Controls.","1 Owner Only! Brand New Leather Seats. Well Maintained, Well Groomed Inside Out. No Repairs Needed. Comes With 6 Months Warranty By Our In House Workshop. Free Island Wide Towing In Event Of Emergency. We Provide Loans, Trade In, Insurance And Scrap Services With Flexibility. Kindly Call Us Now For More Information. STA/VICOM/Own Workshop Pre Purchase Evaluation Welcomed! Like New!",16170,16777,16777,15381,1,Mid-Sized Sedan,"COE Car, Premium Ad Car",TRUE
Mitsubishi Outlander 2.4A Sunroof,92800,10210,10-Oct-16,2851,2016,"13,900 km ",Auto,2360,1636,123.0 kW (164 bhp) View specs of the Mitsubishi Outlander (2014-2015),1530,"164hp 2360cc DOHC MIVEC Engine, 6 Speed CVT Gearbox, 4WD Selectable, 7 Airbags, Traction Control, Keyless Entry/Start, Cruise Control.","Sunroof, Auto Tailgate, Original Paintwork, Sports Rims, Multi Function Steering, Navigation, Bluetooth, DRL, HID, Front/Back Dash Camera.","$0 Down Payment Available, 1 Owner, Lowest Mileage 13'900km With Full Agent Record. 5yr Warranty. Spacious And Stylish With Full Spec Family Ideal SUV/MPV, Smooth And Comfort Handling.",55501,24148,25808,62799,1,SUV,"PARF Car, Low Mileage Car",TRUE
Alfa Romeo 159 2.2 JTS Selespeed,30800,9710,11-Nov-10,693,2010,"157,000 km ",Auto,2198,1446,136.0 kW (182 bhp) View specs of the Alfa Romeo Brera (2006-2009),1490,"Powerful 2.2L 6 Speed Selespeed Transmission Producing 182Bhp, JTS Direct Injection Twin Phase. 6 x Airbags, Cruise Control, Multi Function Steering.",Push Button Start/Stop. Auto Light Sensors. Rain Sensor. Side Retractable Mirror. Fog Lights. Electric Seats With Memory Function And Seat Warmer.,Low Depreciation. Well Maintained. Flexi In House Loan Available. Car Is Under Consignment. Trade In Welcome. Call For A Test Drive Now!,44090,24470,24470,21890,3,Luxury Sedan,PARF Car,TRUE
